File Name,Molecule,Precursor Adduct,Precursor Mz,Total Area,Best Retention Time
Standard2_matrix_neg_17.wiff2,1-Methyladenosine,[M-H],280.105128,381,0.09
Standard2_matrix_neg_13.wiff2,1-Methyladenosine,[M-H],280.105128,446,0.06
Standard2_matrix_neg_12.wiff2,1-Methyladenosine,[M-H],280.105128,535,0.07
Standard2_matrix_neg_11.wiff2,1-Methyladenosine,[M-H],280.105128,795,0.06
Standard2_matrix_neg_1.wiff2,1-Methyladenosine,[M-H],280.105128,21016,0.07
QC_neg.wiff2,1-Methyladenosine,[M-H],280.105128,233,0.08
Standard2_matrix_pos_16.wiff2,1-Methyladenosine,[M+H],282.11968,67795,3.26
Standard3_water_pos_9.wiff2,1-Methyladenosine,[M+H],282.11968,7320,0.06
Standard3_water_pos_8.wiff2,1-Methyladenosine,[M+H],282.11968,16073,0.06
Standard3_water_pos_7.wiff2,1-Methyladenosine,[M+H],282.11968,34784,0.06
Standard3_water_pos_6.wiff2,1-Methyladenosine,[M+H],282.11968,65967,0.06
Standard3_water_pos_5.wiff2,1-Methyladenosine,[M+H],282.11968,113742,0.06
Standard3_water_pos_4.wiff2,1-Methyladenosine,[M+H],282.11968,204771,0.06
Standard3_water_pos_3.wiff2,1-Methyladenosine,[M+H],282.11968,376748,0.06
Standard3_water_pos_2.wiff2,1-Methyladenosine,[M+H],282.11968,762964,0.07
Standard3_water_pos_16.wiff2,1-Methyladenosine,[M+H],282.11968,3788,3.14
Standard3_water_pos_15.wiff2,1-Methyladenosine,[M+H],282.11968,4534,3.14
Standard3_water_pos_14.wiff2,1-Methyladenosine,[M+H],282.11968,2059,3.11
Standard3_water_pos_13.wiff2,1-Methyladenosine,[M+H],282.11968,10946,3.27
Standard3_water_pos_12.wiff2,1-Methyladenosine,[M+H],282.11968,8855,3.15
Standard3_water_pos_11.wiff2,1-Methyladenosine,[M+H],282.11968,9993,3.17
Standard3_water_pos_10.wiff2,1-Methyladenosine,[M+H],282.11968,4177,0.06
Standard3_water_pos_1.wiff2,1-Methyladenosine,[M+H],282.11968,1188110,0.07
Standard3_matrix_pos_9.wiff2,1-Methyladenosine,[M+H],282.11968,14249,3.26
Standard3_matrix_pos_8.wiff2,1-Methyladenosine,[M+H],282.11968,4748,0.07
Standard3_matrix_pos_7.wiff2,1-Methyladenosine,[M+H],282.11968,12368,0.07
Standard3_matrix_pos_6.wiff2,1-Methyladenosine,[M+H],282.11968,27895,0.07
Standard3_matrix_pos_5.wiff2,1-Methyladenosine,[M+H],282.11968,63756,0.07
Standard3_matrix_pos_4.wiff2,1-Methyladenosine,[M+H],282.11968,147301,0.07
Standard3_matrix_pos_3.wiff2,1-Methyladenosine,[M+H],282.11968,321555,0.07
Standard3_matrix_pos_2.wiff2,1-Methyladenosine,[M+H],282.11968,657397,0.07
Standard3_matrix_pos_16.wiff2,1-Methyladenosine,[M+H],282.11968,1591,1.62
Standard3_matrix_pos_15.wiff2,1-Methyladenosine,[M+H],282.11968,8518,3.17
Standard3_matrix_pos_14.wiff2,1-Methyladenosine,[M+H],282.11968,5691,3.39
Standard3_matrix_pos_13.wiff2,1-Methyladenosine,[M+H],282.11968,2659,3.1
Standard3_matrix_pos_12.wiff2,1-Methyladenosine,[M+H],282.11968,8449,3.16
Standard3_matrix_pos_11.wiff2,1-Methyladenosine,[M+H],282.11968,3228,3.26
Standard3_matrix_pos_10.wiff2,1-Methyladenosine,[M+H],282.11968,2133,3.23
Standard3_matrix_pos_1.wiff2,1-Methyladenosine,[M+H],282.11968,1104639,0.07
Standard2_water_pos_9.wiff2,1-Methyladenosine,[M+H],282.11968,77640,0.06
Standard2_water_pos_8.wiff2,1-Methyladenosine,[M+H],282.11968,100020,0.06
Standard2_water_pos_7.wiff2,1-Methyladenosine,[M+H],282.11968,142705,0.06
Standard2_water_pos_6.wiff2,1-Methyladenosine,[M+H],282.11968,209028,0.06
Standard2_water_pos_5.wiff2,1-Methyladenosine,[M+H],282.11968,298964,0.06
Standard2_water_pos_4.wiff2,1-Methyladenosine,[M+H],282.11968,453837,0.07
Standard2_water_pos_3.wiff2,1-Methyladenosine,[M+H],282.11968,655120,0.07
Standard2_water_pos_24.wiff2,1-Methyladenosine,[M+H],282.11968,2706,3.22
Standard2_water_pos_23.wiff2,1-Methyladenosine,[M+H],282.11968,4589,3.14
Standard2_water_pos_22.wiff2,1-Methyladenosine,[M+H],282.11968,15785,3.21
Standard2_water_pos_21.wiff2,1-Methyladenosine,[M+H],282.11968,7452,3.14
Standard2_water_pos_20.wiff2,1-Methyladenosine,[M+H],282.11968,5920,3.37
Standard2_water_pos_2.wiff2,1-Methyladenosine,[M+H],282.11968,914804,0.07
Standard2_water_pos_19.wiff2,1-Methyladenosine,[M+H],282.11968,4109,3.12
Standard2_water_pos_18.wiff2,1-Methyladenosine,[M+H],282.11968,3135,3.28
Standard2_water_pos_17.wiff2,1-Methyladenosine,[M+H],282.11968,3898,3.13
Standard2_water_pos_16.wiff2,1-Methyladenosine,[M+H],282.11968,3902,3.21
Standard2_water_pos_15.wiff2,1-Methyladenosine,[M+H],282.11968,22123,3.28
Standard2_water_pos_14.wiff2,1-Methyladenosine,[M+H],282.11968,7078,0.06
Standard2_water_pos_13.wiff2,1-Methyladenosine,[M+H],282.11968,13187,0.06
Standard2_water_pos_12.wiff2,1-Methyladenosine,[M+H],282.11968,23313,0.06
Standard2_water_pos_11.wiff2,1-Methyladenosine,[M+H],282.11968,34993,0.06
Standard2_water_pos_10.wiff2,1-Methyladenosine,[M+H],282.11968,54121,0.06
Standard2_water_pos_1.wiff2,1-Methyladenosine,[M+H],282.11968,1163996,0.07
Standard2_matrix_pos_9.wiff2,1-Methyladenosine,[M+H],282.11968,35037,0.07
Standard2_matrix_pos_8.wiff2,1-Methyladenosine,[M+H],282.11968,57922,0.07
Standard2_matrix_pos_7.wiff2,1-Methyladenosine,[M+H],282.11968,101037,0.07
Standard2_matrix_pos_6.wiff2,1-Methyladenosine,[M+H],282.11968,172075,0.07
Standard2_matrix_pos_5.wiff2,1-Methyladenosine,[M+H],282.11968,241524,0.07
